ID_aeroport;Nom_aeroport;Code_aeroport;Ville;Pays
2;Honiara International Airport;AGGH;Honiara;SB-GU
3;Port Moresby Jacksons International Airport;AYPY;Port Moresby;PG-NCD
4;Keflavik International Airport;BIKF;ReykjavÃ­k;IS-2
5;Edmonton International Airport;CYEG;Edmonton;CA-AB
6;Halifax / Stanfield International Airport;CYHZ;Halifax;CA-NS
7;Ottawa Macdonald-Cartier International Airport;CYOW;Ottawa;CA-ON
8;Quebec Jean Lesage International Airport;CYQB;Quebec;CA-QC
9;Montreal / Pierre Elliott Trudeau International Airport;CYUL;MontrÃ©al;CA-QC
10;Vancouver International Airport;CYVR;Vancouver;CA-BC
11;Winnipeg / James Armstrong Richardson International Airport;CYWG;Winnipeg;CA-MB
12;Prince George Airport;CYXS;Prince George;CA-BC
13;Abbotsford International Airport;CYXX;Abbotsford;CA-BC
14;Calgary International Airport;CYYC;Calgary;CA-AB
15;Victoria International Airport;CYYJ;Victoria;CA-BC
16;St. John's International Airport;CYYT;St. John's;CA-NL
17;Lester B. Pearson International Airport;CYYZ;Toronto;CA-ON
18;Houari Boumediene Airport;DAAG;Algiers;DZ-16
19;Kotoka International Airport;DGAA;Accra;GH-AA
20;Nnamdi Azikiwe International Airport;DNAA;Abuja;NG-FC
21;Murtala Muhammed International Airport;DNMM;Lagos;NG-LA
22;Diori Hamani International Airport;DRRN;Niamey;NE-8
23;Tunis Carthage International Airport;DTTA;Tunis;TN-11
24;Brussels Airport;EBBR;Zaventem;BE-BRU
25;Berlin Brandenburg Airport;EDDB;Berlin;DE-BR
26;Frankfurt Airport;EDDF;Frankfurt am Main;DE-HE
27;Hamburg Helmut Schmidt Airport;EDDH;Hamburg;DE-HH
28;Cologne Bonn Airport;EDDK;KÃ¶ln (Cologne);DE-NW
29;DÃ¼sseldorf Airport;EDDL;DÃ¼sseldorf;DE-NW
30;Munich Airport;EDDM;Munich;DE-BY
31;Nuremberg Airport;EDDN;Nuremberg;DE-BY
32;Leipzig/Halle Airport;EDDP;Leipzig;DE-SN
33;Stuttgart Airport;EDDS;Stuttgart;DE-BW
34;Hannover Airport;EDDV;Hannover;DE-NI
35;Lennart Meri Tallinn Airport;EETN;Tallinn;EE-37
36;Helsinki Vantaa Airport;EFHK;Helsinki;FI-18
37;Belfast International Airport;EGAA;Belfast;GB-NIR
38;Birmingham International Airport;EGBB;Birmingham;GB-ENG
39;Manchester Airport;EGCC;Manchester;GB-ENG
40;London Luton Airport;EGGW;London;GB-ENG
41;London Gatwick Airport;EGKK;London;GB-ENG
42;London Heathrow Airport;EGLL;London;GB-ENG
43;Glasgow International Airport;EGPF;Paisley, Renfrewshire;GB-SCT
44;Edinburgh Airport;EGPH;Edinburgh;GB-SCT
45;London Stansted Airport;EGSS;London;GB-ENG
46;Amsterdam Airport Schiphol;EHAM;Amsterdam;NL-NH
47;Eindhoven Airport;EHEH;Eindhoven;NL-NB
48;Ezhou Huahu Airport;EHU;Ezhou;CN-13
49;Dublin Airport;EIDW;Dublin;IE-D
50;Shannon Airport;EINN;Shannon;IE-CE
51;Billund Airport;EKBI;Billund;DK-83
52;Copenhagen Kastrup Airport;EKCH;Copenhagen;DK-84
53;Luxembourg-Findel International Airport;ELLX;Luxembourg;LU-L
54;Bergen Airport, Flesland;ENBR;Bergen;NO-46
55;Oslo Airport, Gardermoen;ENGM;Oslo;NO-30
56;TromsÃ¸ Airport, Langnes;ENTC;TromsÃ¸;NO-54
57;Trondheim Airport, VÃ¦rnes;ENVA;Trondheim;NO-50
58;Stavanger Airport, Sola;ENZV;Stavanger;NO-11
59;GdaÅ„sk Lech WaÅ‚Ä™sa Airport;EPGD;GdaÅ„sk;PL-PM
60;KrakÃ³w John Paul II International Airport;EPKK;KrakÃ³w;PL-MA
61;Warsaw Chopin Airport;EPWA;Warsaw;PL-MZ
62;Gothenburg-Landvetter Airport;ESGG;Gothenburg;SE-Q
63;Stockholm-Arlanda Airport;ESSA;Stockholm;SE-AB
64;Riga International Airport;EVRA;Riga;LV-062
65;Vilnius International Airport;EYVI;Vilnius;LT-VL
66;Cape Town International Airport;FACT;Cape Town;ZA-WC
67;King Shaka International Airport;FALE;Durban;ZA-NL
68;OR Tambo International Airport;FAOR;Johannesburg;ZA-GT
69;Sir Seretse Khama International Airport;FBSK;Gaborone;BW-GA
70;King Mswati III International Airport;FDSK;Mpaka;SZ-LU
71;Sir Seewoosagur Ramgoolam International Airport;FIMP;Plaine Magnien;MU-GP
72;Kenneth Kaunda International Airport;FLLS;Lusaka;ZM-09
73;Roland Garros Airport;FMEE;Sainte-Marie;RE-SD
74;Ivato Airport;FMMI;Antananarivo;MG-T
75;Quatro de Fevereiro International Airport;FNLU;Luanda;AO-LUA
76;Maputo Airport;FQMA;Maputo;MZ-MPM
77;Seychelles International Airport;FSIA;Mahe Island;SC-20
78;N'Djamena International Airport;FTTJ;N'Djamena;TD-ND
79;Robert Gabriel Mugabe International Airport;FVHA;Harare;ZW-HA
80;Hosea Kutako International Airport;FYWH;Windhoek;NA-KH
81;Ndjili International Airport;FZAA;Kinshasa;CD-KN
82;Modibo Keita International Airport;GABS;Bamako;ML-2
83;Banjul International Airport;GBYD;Banjul;GM-W
84;Fuerteventura Airport;GCFV;El Matorral;ES-CN
85;Gran Canaria Airport;GCLP;Gran Canaria Island;ES-CN
86;CÃ©sar Manrique-Lanzarote Airport;GCRR;San BartolomÃ©;ES-CN
87;Tenerife Sur Airport;GCTS;Tenerife;ES-CN
88;Lungi International Airport;GFLL;Freetown (Lungi-Town);SL-N
89;Roberts International Airport;GLRB;Monrovia;LR-MG
90;Mohammed V International Airport;GMMN;Casablanca;MA-CAS
91;Blaise Diagne International Airport;GOBD;Dakar;SN-DK
92;Nouakchottâ€“Oumtounsy International Airport;GQNO;Nouakchott;MR-NKC
93;AmÃ­lcar Cabral International Airport;GVAC;Espargos;CV-B
94;Addis Ababa Bole International Airport;HAAB;Addis Ababa;ET-AA
95;Djibouti-Ambouli Airport;HDAM;Djibouti City;DJ-DJ
96;Cairo International Airport;HECA;Cairo;EG-C
97;Hurghada International Airport;HEGN;Hurghada;EG-BA
98;Sharm El Sheikh International Airport;HESH;Sharm El Sheikh;EG-JS
99;Juba International Airport;HJJJ;Juba;SS-17
100;Jomo Kenyatta International Airport;HKJK;Nairobi;KE-110
101;Moi International Airport;HKMO;Mombasa;KE-300
102;Mitiga International Airport;HLLM;Tripoli;LY-TB
103;Kigali International Airport;HRYR;Kigali;RW-01
104;Khartoum International Airport;HSSK;Khartoum;SD-03
105;Julius Nyerere International Airport;HTDA;Dar es Salaam;TZ-02
106;Abeid Amani Karume International Airport;HTZA;Zanzibar;TZ-07
107;Entebbe International Airport;HUEN;Kampala;UG-C
108;Joint Base Andrews;KADW;Camp Springs;US-MD
109;Hartsfield Jackson Atlanta International Airport;KATL;Atlanta;US-GA
110;Austin Bergstrom International Airport;KAUS;Austin;US-TX
111;Nashville International Airport;KBNA;Nashville;US-TN
112;Logan International Airport;KBOS;Boston;US-MA
113;Buffalo Niagara International Airport;KBUF;Buffalo;US-NY
114;Baltimore/Washington International Thurgood Marshall Airport;KBWI;Baltimore;US-MD
115;Cleveland Hopkins International Airport;KCLE;Cleveland;US-OH
116;Charlotte Douglas International Airport;KCLT;Charlotte;US-NC
117;Camarillo International Airport;KCMA;Camarillo;US-CA
118;John Glenn Columbus International Airport;KCMH;Columbus;US-OH
119;Cincinnati Northern Kentucky International Airport;KCVG;Cincinnati / Covington;US-KY
120;Ronald Reagan Washington National Airport;KDCA;Washington;US-DC
121;Denver International Airport;KDEN;Denver;US-CO
122;Dallas Fort Worth International Airport;KDFW;Dallas-Fort Worth;US-TX
123;Detroit Metropolitan Wayne County Airport;KDTW;Detroit;US-MI
124;Newark Liberty International Airport;KEWR;Newark;US-NJ
125;Fort Lauderdale Hollywood International Airport;KFLL;Fort Lauderdale;US-FL
126;Washington Dulles International Airport;KIAD;Dulles;US-VA
127;George Bush Intercontinental Houston Airport;KIAH;Houston;US-TX
128;Indianapolis International Airport;KIND;Indianapolis;US-IN
129;Jacksonville International Airport;KJAX;Jacksonville;US-FL
130;John F Kennedy International Airport;KJFK;New York;US-NY
131;Harry Reid International Airport;KLAS;Las Vegas;US-NV
132;Los Angeles International Airport;KLAX;Los Angeles;US-CA
133;La Guardia Airport;KLGA;New York;US-NY
134;Kansas City International Airport;KMCI;Kansas City;US-MO
135;Orlando International Airport;KMCO;Orlando;US-FL
136;Chicago Midway International Airport;KMDW;Chicago;US-IL
137;Memphis International Airport;KMEM;Memphis;US-TN
138;Miami International Airport;KMIA;Miami;US-FL
139;General Mitchell International Airport;KMKE;Milwaukee;US-WI
140;Minneapolisâ€“Saint Paul International Airport / Woldâ€“Chamberlain Field;KMSP;Minneapolis;US-MN
141;Louis Armstrong New Orleans International Airport;KMSY;New Orleans;US-LA
142;Metropolitan Oakland International Airport;KOAK;Oakland;US-CA
143;Eppley Airfield;KOMA;Omaha;US-NE
144;Ontario International Airport;KONT;Ontario;US-CA
145;Chicago O'Hare International Airport;KORD;Chicago;US-IL
146;Palm Beach International Airport;KPBI;West Palm Beach;US-FL
147;Portland International Airport;KPDX;Portland;US-OR
148;Philadelphia International Airport;KPHL;Philadelphia;US-PA
149;Phoenix Sky Harbor International Airport;KPHX;Phoenix;US-AZ
150;Pittsburgh International Airport;KPIT;Pittsburgh;US-PA
151;Theodore Francis Green State Airport;KPVD;Warwick;US-RI
152;Portland International Jetport;KPWM;Portland;US-ME
153;Raleigh Durham International Airport;KRDU;Raleigh/Durham;US-NC
154;Richmond International Airport;KRIC;Richmond;US-VA
155;Reno Tahoe International Airport;KRNO;Reno;US-NV
156;Southwest Florida International Airport;KRSW;Fort Myers;US-FL
157;San Diego International Airport;KSAN;San Diego;US-CA
158;San Antonio International Airport;KSAT;San Antonio;US-TX
159;Savannah Hilton Head International Airport;KSAV;Savannah;US-GA
160;Louisville Muhammad Ali International Airport;KSDF;Louisville;US-KY
161;Seattleâ€“Tacoma International Airport;KSEA;Seattle;US-WA
162;Orlando Sanford International Airport;KSFB;Orlando;US-FL
163;San Francisco International Airport;KSFO;San Francisco;US-CA
164;Norman Y. Mineta San Jose International Airport;KSJC;San Jose;US-CA
165;Salt Lake City International Airport;KSLC;Salt Lake City;US-UT
166;Sacramento International Airport;KSMF;Sacramento;US-CA
167;John Wayne Airport-Orange County Airport;KSNA;Santa Ana;US-CA
168;St Louis Lambert International Airport;KSTL;St Louis;US-MO
169;Syracuse Hancock International Airport;KSYR;Syracuse;US-NY
170;Tampa International Airport;KTPA;Tampa;US-FL
171;Tulsa International Airport;KTUL;Tulsa;US-OK
172;Tirana International Airport Mother Teresa;LATI;Tirana;AL-11
173;Burgas Airport;LBBG;Burgas;BG-02
174;Sofia Airport;LBSF;Sofia;BG-23
175;Varna Airport;LBWN;Varna;BG-03
176;Larnaca International Airport;LCLK;Larnaca;CY-04
177;Zagreb Airport;LDZA;Zagreb;HR-21
178;Alicante-Elche Miguel HernÃ¡ndez Airport;LEAL;Alicante;ES-VC
179;Josep Tarradellas Barcelona-El Prat Airport;LEBL;Barcelona;ES-CT
180;Ibiza Airport;LEIB;Ibiza (Eivissa);ES-IB
181;Adolfo SuÃ¡rez Madridâ€“Barajas Airport;LEMD;Madrid;ES-MD
182;MÃ¡laga-Costa del Sol Airport;LEMG;MÃ¡laga;ES-AN
183;Palma de Mallorca Airport;LEPA;Palma de Mallorca;ES-IB
184;Santiago-RosalÃ­a de Castro Airport;LEST;Santiago de Compostela;ES-GA
185;Bordeaux-MÃ©rignac Airport;LFBD;Bordeaux/MÃ©rignac;FR-NAQ
186;Toulouse-Blagnac Airport;LFBO;Toulouse/Blagnac;FR-OCC
187;Lyon Saint-ExupÃ©ry Airport;LFLL;Lyon;FR-ARA
